x-axis,MATH
Hertz,dBV
+3.055000E+03,-60.36813E+00
+3.060000E+03,-59.59938E+00
+3.065000E+03,-59.78688E+00
+3.070000E+03,-60.95688E+00
+3.075000E+03,-63.37656E+00
+3.080000E+03,-65.24844E+00
+3.085000E+03,-67.35344E+00
+3.090000E+03,-66.37594E+00
+3.095000E+03,-60.10844E+00
+3.100000E+03,-55.42344E+00
+3.105000E+03,-52.87375E+00
+3.110000E+03,-51.78625E+00
+3.115000E+03,-51.94188E+00
+3.120000E+03,-52.90625E+00
+3.125000E+03,-54.25781E+00
+3.130000E+03,-56.48375E+00
+3.135000E+03,-58.08063E+00
+3.140000E+03,-58.71063E+00
+3.145000E+03,-58.14313E+00
+3.150000E+03,-57.60625E+00
+3.155000E+03,-57.82938E+00
+3.160000E+03,-58.01500E+00
+3.165000E+03,-58.40750E+00
+3.170000E+03,-58.16313E+00
+3.175000E+03,-57.54688E+00
+3.180000E+03,-56.87063E+00
+3.185000E+03,-56.62938E+00
+3.190000E+03,-56.80875E+00
+3.195000E+03,-57.25250E+00
+3.200000E+03,-57.39531E+00
+3.205000E+03,-57.77031E+00
+3.210000E+03,-58.25719E+00
+3.215000E+03,-59.53156E+00
+3.220000E+03,-62.20000E+00
+3.225000E+03,-65.94375E+00
+3.230000E+03,-68.52125E+00
+3.235000E+03,-67.85750E+00
+3.240000E+03,-66.03688E+00
+3.245000E+03,-64.80438E+00
+3.250000E+03,-63.29688E+00
+3.255000E+03,-61.99813E+00
+3.260000E+03,-60.74094E+00
+3.265000E+03,-58.82969E+00
+3.270000E+03,-57.20063E+00
+3.275000E+03,-56.82500E+00
+3.280000E+03,-57.82406E+00
+3.285000E+03,-61.19406E+00
+3.290000E+03,-65.91469E+00
+3.295000E+03,-63.69469E+00
+3.300000E+03,-59.81875E+00
+3.305000E+03,-57.59875E+00
+3.310000E+03,-57.13563E+00
+3.315000E+03,-57.35875E+00
+3.320000E+03,-58.62594E+00
+3.325000E+03,-59.91094E+00
+3.330000E+03,-60.26844E+00
+3.335000E+03,-58.30062E+00
+3.340000E+03,-55.80312E+00
+3.345000E+03,-54.03156E+00
+3.350000E+03,-52.80156E+00
+3.355000E+03,-52.24688E+00
+3.360000E+03,-52.55688E+00
+3.365000E+03,-53.82688E+00
+3.370000E+03,-56.29000E+00
+3.375000E+03,-59.18750E+00
+3.380000E+03,-61.53000E+00
+3.385000E+03,-62.79063E+00
+3.390000E+03,-63.84188E+00
+3.395000E+03,-64.22750E+00
+3.400000E+03,-63.25000E+00
+3.405000E+03,-60.79781E+00
+3.410000E+03,-58.96844E+00
+3.415000E+03,-58.26438E+00
+3.420000E+03,-58.94438E+00
+3.425000E+03,-60.05781E+00
+3.430000E+03,-59.90406E+00
+3.435000E+03,-58.40094E+00
+3.440000E+03,-56.64094E+00
+3.445000E+03,-55.37781E+00
+3.450000E+03,-54.54531E+00
+3.455000E+03,-53.96781E+00
+3.460000E+03,-53.57531E+00
+3.465000E+03,-53.56094E+00
+3.470000E+03,-54.14531E+00
+3.475000E+03,-55.55625E+00
+3.480000E+03,-57.68875E+00
+3.485000E+03,-59.83812E+00
+3.490000E+03,-60.83125E+00
+3.495000E+03,-61.40094E+00
+3.500000E+03,-60.99219E+00
+3.505000E+03,-60.21563E+00
+3.510000E+03,-59.05125E+00
+3.515000E+03,-58.83313E+00
+3.520000E+03,-59.21313E+00
+3.525000E+03,-60.19219E+00
+3.530000E+03,-60.97406E+00
+3.535000E+03,-62.22563E+00
+3.540000E+03,-63.15688E+00
+3.545000E+03,-64.89531E+00
+3.550000E+03,-70.52344E+00
+3.555000E+03,-71.48844E+00
+3.560000E+03,-66.00406E+00
+3.565000E+03,-61.58219E+00
+3.570000E+03,-59.31000E+00
+3.575000E+03,-57.43125E+00
+3.580000E+03,-56.03438E+00
+3.585000E+03,-54.99688E+00
+3.590000E+03,-54.57875E+00
+3.595000E+03,-54.18875E+00
+3.600000E+03,-54.14531E+00
+3.605000E+03,-54.36469E+00
+3.610000E+03,-54.86563E+00
+3.615000E+03,-55.83063E+00
+3.620000E+03,-57.28688E+00
+3.625000E+03,-58.62500E+00
+3.630000E+03,-59.20563E+00
+3.635000E+03,-59.22563E+00
+3.640000E+03,-58.74250E+00
+3.645000E+03,-58.16688E+00
+3.650000E+03,-57.24375E+00
+3.655000E+03,-56.31500E+00
+3.660000E+03,-55.51063E+00
+3.665000E+03,-54.69375E+00
+3.670000E+03,-54.20656E+00
+3.675000E+03,-54.10156E+00
+3.680000E+03,-54.85375E+00
+3.685000E+03,-56.30938E+00
+3.690000E+03,-58.15969E+00
+3.695000E+03,-58.96969E+00
+3.700000E+03,-58.55781E+00
+3.705000E+03,-57.54094E+00
+3.710000E+03,-56.42094E+00
+3.715000E+03,-55.85344E+00
+3.720000E+03,-56.11563E+00
+3.725000E+03,-56.68750E+00
+3.730000E+03,-57.78188E+00
+3.735000E+03,-59.70313E+00
+3.740000E+03,-62.74438E+00
+3.745000E+03,-64.72063E+00
+3.750000E+03,-63.16406E+00
+3.755000E+03,-60.47031E+00
+3.760000E+03,-58.89469E+00
+3.765000E+03,-57.90188E+00
+3.770000E+03,-58.16688E+00
+3.775000E+03,-59.48906E+00
+3.780000E+03,-60.97156E+00
+3.785000E+03,-61.35375E+00
+3.790000E+03,-60.98125E+00
+3.795000E+03,-60.35594E+00
+3.800000E+03,-59.89844E+00
+3.805000E+03,-60.32938E+00
+3.810000E+03,-61.00688E+00
+3.815000E+03,-62.35500E+00
+3.820000E+03,-65.45688E+00
+3.825000E+03,-69.65938E+00
+3.830000E+03,-68.21937E+00
+3.835000E+03,-62.62969E+00
+3.840000E+03,-60.12406E+00
+3.845000E+03,-59.09344E+00
+3.850000E+03,-58.22344E+00
+3.855000E+03,-57.08500E+00
+3.860000E+03,-55.86563E+00
+3.865000E+03,-54.70875E+00
+3.870000E+03,-53.67875E+00
+3.875000E+03,-52.76563E+00
+3.880000E+03,-51.88563E+00
+3.885000E+03,-51.15750E+00
+3.890000E+03,-50.75375E+00
+3.895000E+03,-50.96313E+00
+3.900000E+03,-51.79688E+00
+3.905000E+03,-53.20375E+00
